Date,Price
2/21/2017,55.478001
2/22/2017,54.702
2/23/2017,51.198002
2/24/2017,51.400002
2/27/2017,49.245998
2/28/2017,49.998001
03-01-17,50.004002
03-02-17,50.096001
03-03-17,50.313999
03-06-17,50.242001
03-07-17,49.717999
03-08-17,49.374001
03-09-17,48.98
03-10-17,48.737999
3/13/2017,49.234001
3/14/2017,51.599998
3/15/2017,51.146
3/16/2017,52.41
3/17/2017,52.299999
3/20/2017,52.383999
3/21/2017,50.136002
3/22/2017,51.001999
3/23/2017,50.956001
3/24/2017,52.632
3/27/2017,54.043999
3/28/2017,55.490002
3/29/2017,55.476002
3/30/2017,55.584
3/31/2017,55.66
04-03-17,59.703999
04-04-17,60.740002
04-05-17,59
04-06-17,59.740002
04-07-17,60.507999
04-10-17,62.478001
04-11-17,61.742001
04-12-17,59.368
4/13/2017,60.799999
4/17/2017,60.287998
4/18/2017,60.049999
4/19/2017,61.104
4/20/2017,60.501999
4/21/2017,61.119999
4/24/2017,61.605999
4/25/2017,62.757999
4/26/2017,62.034
4/27/2017,61.726002
4/28/2017,62.813999
05-01-17,64.566002
05-02-17,63.778
05-03-17,62.203999
05-04-17,59.091999
05-05-17,61.669998
05-08-17,61.438
05-09-17,64.251999
05-10-17,65.043999
05-11-17,64.620003
05-12-17,64.961998
5/15/2017,63.175999
5/16/2017,63.402
5/17/2017,61.222
5/18/2017,62.612
5/19/2017,62.166
5/22/2017,62.07
5/23/2017,60.771999
5/24/2017,62.043999
5/25/2017,63.366001
5/26/2017,65.028
5/30/2017,67.019997
5/31/2017,68.202003
06-01-17,68.073997
06-02-17,67.970001
06-05-17,69.463997
06-06-17,70.57
06-07-17,71.93
06-08-17,74
06-09-17,71.463997
06-12-17,71.802002
6/13/2017,75.190002
6/14/2017,76.132004
6/15/2017,75.068001
6/16/2017,74.279999
6/19/2017,73.959999
6/20/2017,74.447998
6/21/2017,75.279999
6/22/2017,76.522003
6/23/2017,76.690002
6/26/2017,75.498001
6/27/2017,72.473999
6/28/2017,74.248001
6/29/2017,72.150002
6/30/2017,72.321999
07-03-17,70.524002
07-05-17,65.417999
07-06-17,61.765999
07-07-17,62.644001
07-10-17,63.209999
07-11-17,65.444
07-12-17,65.903999
7/13/2017,64.681999
7/14/2017,65.556
7/17/2017,63.914001
7/18/2017,65.648003
7/19/2017,65.052002
7/20/2017,65.984001
7/21/2017,65.68
7/24/2017,68.503998
7/25/2017,67.919998
7/26/2017,68.769997
7/27/2017,66.891998
7/28/2017,67.014
7/31/2017,64.694
08-01-17,63.914001
